cameraId,vDate,vId
1,2021-02-08,https://www.youtube.com/watchv=dQw4w9WgXcQ
2,2021-02-10,https://www.youtube.com/watcv=dQw4w9WgXcQ
3,2021-02-14,https://www.youtube.com/watchv=dQw4w9WgXcQ
4,2021-02-10,https://www.youtube.com/watchv=dQw4w9WgXcQ
5,2021-02-19,https://www.youtube.com/watcv=dQw4w9WgXcQ
6,2021-02-07,https://www.youtube.com/watcv=dQw4w9WgXcQ
7,2021-02-11,https://www.youtube.com/watchv=dQw4w9WgXcQ
8,2021-02-09,https://www.youtube.com/watcv=dQw4w9WgXcQ
9,2021-02-12,https://www.youtube.com/watchv=dQw4w9WgXcQ
10,2021-02-17,https://www.youtube.com/watcv=dQw4w9WgXcQ
11,2021-02-08,https://www.youtube.com/watchv=dQw4w9WgXcQ
12,2021-02-11,https://www.youtube.com/watcv=dQw4w9WgXcQ
13,2021-02-14,https://www.youtube.com/watcv=dQw4w9WgXcQ
14,2021-02-20,https://www.youtube.com/watchv=dQw4w9WgXcQ
15,2021-02-12,https://www.youtube.com/watchv=dQw4w9WgXcQ
16,2021-02-14,https://www.youtube.com/watcv=dQw4w9WgXcQ
17,2021-02-08,https://www.youtube.com/watchv=dQw4w9WgXcQ
18,2021-02-14,https://www.youtube.com/watcv=dQw4w9WgXcQ
19,2021-02-11,https://www.youtube.com/watchv=dQw4w9WgXcQ
20,2021-02-16,https://www.youtube.com/watchv=dQw4w9WgXcQ
21,2021-02-17,https://www.youtube.com/watchv=dQw4w9WgXcQ
22,2021-02-20,https://www.youtube.com/watcv=dQw4w9WgXcQ
23,2021-02-11,https://www.youtube.com/watchv=dQw4w9WgXcQ
24,2021-02-12,https://www.youtube.com/watcv=dQw4w9WgXcQ
25,2021-02-20,https://www.youtube.com/watcv=dQw4w9WgXcQ
26,2021-02-14,https://www.youtube.com/watcv=dQw4w9WgXcQ
27,2021-02-09,https://www.youtube.com/watcv=dQw4w9WgXcQ
28,2021-02-20,https://www.youtube.com/watchv=dQw4w9WgXcQ
29,2021-02-11,https://www.youtube.com/watchv=dQw4w9WgXcQ
30,2021-02-20,https://www.youtube.com/watcv=dQw4w9WgXcQ
31,2021-02-12,https://www.youtube.com/watchv=dQw4w9WgXcQ
32,2021-02-14,https://www.youtube.com/watchv=dQw4w9WgXcQ
33,2021-02-11,https://www.youtube.com/watcv=dQw4w9WgXcQ
34,2021-02-16,https://www.youtube.com/watcv=dQw4w9WgXcQ
35,2021-02-19,https://www.youtube.com/watchv=dQw4w9WgXcQ
36,2021-02-07,https://www.youtube.com/watcv=dQw4w9WgXcQ
37,2021-02-13,https://www.youtube.com/watcv=dQw4w9WgXcQ
38,2021-02-08,https://www.youtube.com/watcv=dQw4w9WgXcQ
39,2021-02-08,https://www.youtube.com/watcv=dQw4w9WgXcQ
40,2021-02-17,https://www.youtube.com/watchv=dQw4w9WgXcQ
41,2021-02-20,https://www.youtube.com/watchv=dQw4w9WgXcQ
42,2021-02-18,https://www.youtube.com/watchv=dQw4w9WgXcQ
43,2021-02-15,https://www.youtube.com/watchv=dQw4w9WgXcQ
44,2021-02-18,https://www.youtube.com/watchv=dQw4w9WgXcQ
45,2021-02-14,https://www.youtube.com/watcv=dQw4w9WgXcQ
46,2021-02-08,https://www.youtube.com/watcv=dQw4w9WgXcQ
47,2021-02-09,https://www.youtube.com/watcv=dQw4w9WgXcQ
48,2021-02-08,https://www.youtube.com/watchv=dQw4w9WgXcQ
49,2021-02-15,https://www.youtube.com/watchv=dQw4w9WgXcQ
50,2021-02-13,https://www.youtube.com/watcv=dQw4w9WgXcQ
51,2021-02-20,https://www.youtube.com/watchv=dQw4w9WgXcQ
52,2021-02-16,https://www.youtube.com/watcv=dQw4w9WgXcQ
53,2021-02-16,https://www.youtube.com/watchv=dQw4w9WgXcQ
54,2021-02-14,https://www.youtube.com/watcv=dQw4w9WgXcQ
55,2021-02-13,https://www.youtube.com/watchv=dQw4w9WgXcQ
56,2021-02-16,https://www.youtube.com/watchv=dQw4w9WgXcQ
57,2021-02-09,https://www.youtube.com/watchv=dQw4w9WgXcQ
58,2021-02-16,https://www.youtube.com/watchv=dQw4w9WgXcQ
59,2021-02-12,https://www.youtube.com/watcv=dQw4w9WgXcQ
60,2021-02-09,https://www.youtube.com/watchv=dQw4w9WgXcQ
61,2021-02-11,https://www.youtube.com/watcv=dQw4w9WgXcQ
62,2021-02-19,https://www.youtube.com/watcv=dQw4w9WgXcQ
63,2021-02-14,https://www.youtube.com/watchv=dQw4w9WgXcQ
64,2021-02-15,https://www.youtube.com/watchv=dQw4w9WgXcQ
65,2021-02-18,https://www.youtube.com/watchv=dQw4w9WgXcQ
66,2021-02-20,https://www.youtube.com/watcv=dQw4w9WgXcQ
67,2021-02-19,https://www.youtube.com/watcv=dQw4w9WgXcQ
68,2021-02-07,https://www.youtube.com/watcv=dQw4w9WgXcQ
69,2021-02-10,https://www.youtube.com/watcv=dQw4w9WgXcQ
70,2021-02-08,https://www.youtube.com/watchv=dQw4w9WgXcQ
71,2021-02-17,https://www.youtube.com/watcv=dQw4w9WgXcQ
72,2021-02-07,https://www.youtube.com/watchv=dQw4w9WgXcQ
73,2021-02-07,https://www.youtube.com/watcv=dQw4w9WgXcQ
74,2021-02-08,https://www.youtube.com/watcv=dQw4w9WgXcQ
75,2021-02-09,https://www.youtube.com/watcv=dQw4w9WgXcQ
76,2021-02-07,https://www.youtube.com/watchv=dQw4w9WgXcQ
77,2021-02-15,https://www.youtube.com/watchv=dQw4w9WgXcQ
78,2021-02-20,https://www.youtube.com/watchv=dQw4w9WgXcQ
79,2021-02-17,https://www.youtube.com/watcv=dQw4w9WgXcQ
80,2021-02-11,https://www.youtube.com/watchv=dQw4w9WgXcQ
81,2021-02-18,https://www.youtube.com/watchv=dQw4w9WgXcQ
82,2021-02-15,https://www.youtube.com/watcv=dQw4w9WgXcQ
83,2021-02-14,https://www.youtube.com/watcv=dQw4w9WgXcQ
84,2021-02-20,https://www.youtube.com/watcv=dQw4w9WgXcQ
85,2021-02-17,https://www.youtube.com/watcv=dQw4w9WgXcQ
86,2021-02-13,https://www.youtube.com/watchv=dQw4w9WgXcQ
87,2021-02-11,https://www.youtube.com/watchv=dQw4w9WgXcQ
88,2021-02-16,https://www.youtube.com/watchv=dQw4w9WgXcQ
89,2021-02-10,https://www.youtube.com/watcv=dQw4w9WgXcQ
90,2021-02-11,https://www.youtube.com/watcv=dQw4w9WgXcQ
91,2021-02-07,https://www.youtube.com/watcv=dQw4w9WgXcQ
92,2021-02-18,https://www.youtube.com/watchv=dQw4w9WgXcQ
93,2021-02-08,https://www.youtube.com/watchv=dQw4w9WgXcQ
94,2021-02-19,https://www.youtube.com/watchv=dQw4w9WgXcQ
95,2021-02-12,https://www.youtube.com/watcv=dQw4w9WgXcQ
96,2021-02-20,https://www.youtube.com/watchv=dQw4w9WgXcQ
97,2021-02-13,https://www.youtube.com/watcv=dQw4w9WgXcQ
98,2021-02-13,https://www.youtube.com/watchv=dQw4w9WgXcQ
99,2021-02-12,https://www.youtube.com/watchv=dQw4w9WgXcQ
100,2021-02-14,https://www.youtube.com/watcv=dQw4w9WgXcQ
